Plant Name,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
Leopold's Rush (Juncus acutus ssp. leopoldii),Grasses,5 ft tall,Brown,,"*
White-lined Sphinx
Hyles lineata

*
Javelin Moth
Bactra verutana

*
Mottled Marble
Bactra furfurana","White-lined Sphinx
Hyles lineata","Javelin Moth
Bactra verutana","Mottled Marble
Bactra furfurana",Full Sun,Moderate - High,Carried by 4,"Fast, Medium, Slow, Standing",Tolerant of a variety of garden soils as long as sufficient moisture is available,"5, 7, 8*, 9*, 12*, 13*, 14*, 15*, 16*, 17*, 19*, 20*, 21*, 22*, 23*, 24*",Moist salt marshes,"Annual Precipitation: 2.7"" - 36.4"", Summer Precipitation: 0.18"" - 1.38"", Coldest Month: 42.1"" - 60.1"", Hottest Month: 62.6"" - 88.8"", Humidity: 0.92"" - 40.20"", Elevation: -142"" - 3968""",Common Names: Leopold Rush,,,,,,,,,,,,,,,,
Silverweed (Potentilla anserina),Perennial herb,Yellow,Spring,,"*
Edith's Copper
Lycaena editha

*
Two-banded Checkered-Skipper
Pyrgus ruralis

*
Purplish Copper
Lycaena helloides

*
White-lined Sphinx
Hyles lineata

*
Elegant Sheepmoth
Hemileuca eglanterina

*
Sulphur Moth
Hesperumia sulphuraria","Edith's Copper
Lycaena editha","Two-banded Checkered-Skipper
Pyrgus ruralis","Purplish Copper
Lycaena helloides","White-lined Sphinx
Hyles lineata","Elegant Sheepmoth
Hemileuca eglanterina","Sulphur Moth
Hesperumia sulphuraria",,Part Shade,Moderate - High,Carried by 7,Fast,Prefers sandy or gravelly soils,Groundcovers,For propagating by seed: 2 mos. stratification.,"Wet, often brackish places","Annual Precipitation: 11.5"" - 74.6"", Summer Precipitation: 0.18"" - 2.70"", Coldest Month: 25.1"" - 56.5"", Hottest Month: 49.4"" - 77.5"", Humidity: 0.03"" - 24.55"", Elevation: -75"" - 9323""",Common Names: Silverweed Cinquefoil,,,,,,,,,,,
Pickleweed (Salicornia pacifica),Perennial herb,0.33 - 2.3 ft tall,Red,"Summer, Fall",,"*
Western Pygmy Blue
Brephidium exilis

*
White-lined Sphinx
Hyles lineata","Western Pygmy Blue
Brephidium exilis","White-lined Sphinx
Hyles lineata",Full Sun,Moderate - High,Carried by 8,"Fast, Standing","Usually found in saturated, sandy soil","Salt marshes, alkaline flats","Annual Precipitation: 8.7"" - 32.7"", Summer Precipitation: 0.15"" - 0.40"", Coldest Month: 46.8"" - 56.7"", Hottest Month: 61.0"" - 73.1"", Humidity: 0.72"" - 18.14"", Elevation: -7"" - 747""","Common Names: Salt Marsh Pickleweed, Virginia Glasswort",,,,,,,,,,,,,,,,,
Seaside Heliotrope (Heliotropium curassavicum),Perennial herb,1.2 - 1.6 ft tall,Mounding,Moderate,"Blue, Lavender, White",Spring,,"Eight-barred Lygropia Moth
Lygropia octonalis

*
White-lined Sphinx
Hyles lineata

*
Celery Leaftier
Udea rubigalis","Eight-barred Lygropia Moth
Lygropia octonalis","White-lined Sphinx
Hyles lineata","Celery Leaftier
Udea rubigalis",Full Sun,Moderate - High,Carried by 8,"Grows in many soil types, often in saline or alkaline soils.","Annual Precipitation: 2.3"" - 57.8"", Summer Precipitation: 0.14"" - 2.58"", Coldest Month: 29.4"" - 61.4"", Hottest Month: 57.6"" - 90.6"", Humidity: 0.37"" - 48.82"", Elevation: -232"" - 7497""","Common Names: Monkey Tail, Quail Plant, Salt Heliotrope",,,,,,,,,,,,,,,,
Southern Honeysuckle (Lonicera subspicata var. subspicata),Shrub,"8 ft tall
20 ft wide",Spreading,Evergreen,Fragrant - Pleasant,"Cream, White","Spring, Summer","Many insects are attracted to the flowers, including butterflies. Birds are attracted to the berries.","*
Variable Checkerspot
Euphydryas chalcedona

*
White-lined Sphinx
Hyles lineata

*
Genista Caterpillar
Uresiphita reversalis

*
Corn Earworm Moth
Helicoverpa zea

*
Ashy Pleromelloida Moth
Pleromelloida cinerea

*
Fall Webworm
Hyphantria cunea","Variable Checkerspot
Euphydryas chalcedona","White-lined Sphinx
Hyles lineata","Genista Caterpillar
Uresiphita reversalis","Corn Earworm Moth
Helicoverpa zea","Ashy Pleromelloida Moth
Pleromelloida cinerea","Fall Webworm
Hyphantria cunea",,"Part Shade, Full Sun",Very Low,Max 2x / month once established,Carried by 2,Tolerates cold to 5° F,"Medium, Slow",Tolerant of a variety of soils including clay and decomposed granite. Soil PH: 6.0 - 7.5,"Hedges, Hummingbird Gardens, Bird Gardens","Many companion plants including Manzanita (Arctostaphylos sp.), Ceanothus sp., coyote bush (Baccharis pilularis), San Diego Viguiera (Bahiopsis laciniata), Barberry (Berberis sp.), Mountain Mahogany (Cercocarpus betuloides or minutiflorus), Bushrue (Cneoridium dumosum), Summer Holly (Comarostaphylis diversifolia), Tree Poppy (Dendromecon rigida), California Brittlebush (Encelia californica), Goldenbush (Ericameria sp.), Yerba Santa (Eridoctyon sp.), Buckwheat (Eriogonum sp.), Flannelbush (Fremontodendron sp.), Silk Tassel Bush (Garrya sp.), toyon (Heteromeles arbutifolia), Pitcher Sage (Lepechinia sp.), Bush Mallow (Malacothamnus sp.), Sticky Monkeyflower (Mimulus aurantiacus), Hollyleaf Cherry (Prunus ilicifolia), Oaks (Quercus sp.), Lemonade Berry (Rhus integrifolia), wild Currant (Ribes sp.), Sage (Salvia sp.), Woolly Bluecurls (Trichotema lanatum), and Mission Manzanita (Xylococcus bicolor).","Do not prune new, young growth because that is where the flowers and fruit are borne. Remove older growth to shape and to stimulate growth of new stems.",Seed and cuttings,"14*, 15*, 16*, 17*, 18*, 19*, 20*, 21*, 22*, 23*, 24*","Coastal plains, foothills and the west slope of the mountains from the Bay Area southward, typically in the partial shade of oaks or chaparral species","Annual Precipitation: 12.3"" - 33.6"", Summer Precipitation: 0.15"" - 1.97"", Coldest Month: 39.0"" - 56.1"", Hottest Month: 64.5"" - 77.6"", Humidity: 0.97"" - 23.54"", Elevation: -18"" - 4878""",,,
Pink Sand Verbena (Abronia umbellata),Perennial herb,Summer Semi-Deciduous,"Pink, White, Purple","Winter, Spring, Summer, Fall",,"Lithariapteryx abroniaeella

Lithariapteryx Elegans
Lithariapteryx elegans

*
White-lined Sphinx
Hyles lineata

*
Euphyia implicata",Lithariapteryx abroniaeella,"Lithariapteryx Elegans
Lithariapteryx elegans","White-lined Sphinx
Hyles lineata",Euphyia implicata,Full Sun,"Extremely Low, Very Low",Carried by 2,Fast,"Sandy, well-drained soil. Soil PH: 4.6 - 7.8","Bee Gardens, Butterfly Gardens, Groundcovers","Abronia latifolia, Artemisia pynocephala, Camissoniopsis cheiranthifolia, Erigeron glaucus, Eriophyllum staechadifolium, Fragaria chiloensis",For propagating by seed: No treatment. Germination may be poor.,"17, 17*, 24*","Undisturbed sandy places, dunes","Annual Precipitation: 2.4"" - 64.4"", Summer Precipitation: 0.15"" - 1.98"", Coldest Month: 44.4"" - 60.6"", Hottest Month: 57.4"" - 90.2"", Humidity: 0.01"" - 48.21"", Elevation: -253"" - 3239""","Common Names: Beach Sand Verbena, Beach Sand-verbena, Purple Sand Verbena",,,,,,,,,,,
Santa Barbara Milk Vetch (Astragalus trichopodus),Perennial herb,"0.7 - 3.3 ft tall
3.3 - 4.9 ft wide",Fast,Cream,"Winter, Spring","Butterflies: Queen Alexandra's Sulphur, Reakirt's Blue, Arrowhead Blue, Marine Blue","Silvery Blue
Glaucopsyche lygdamus

Queen Alexandra's Sulphur
Colias alexandra

*
Painted Lady
Vanessa cardui

*
Acmon Blue
Icaricia acmon

*
Orange Sulphur
Colias eurytheme

*
Silver-Spotted Skipper
Epargyreus clarus","Silvery Blue
Glaucopsyche lygdamus","Queen Alexandra's Sulphur
Colias alexandra","Painted Lady
Vanessa cardui","Acmon Blue
Icaricia acmon","Orange Sulphur
Colias eurytheme","Silver-Spotted Skipper
Epargyreus clarus",,Full Sun,Very Low,Carried by 2,Moderately Easy,Fast,Prefers well-draining soil. Soil PH: 4.8 - 8.2,For propagating by seed: No treatment.,"open grassy places, bluffs, rocky places","Annual Precipitation: 5.8"" - 46.5"", Summer Precipitation: 0.14"" - 2.30"", Coldest Month: 35.2"" - 57.2"", Hottest Month: 61.2"" - 80.3"", Humidity: 0.58"" - 29.30"", Elevation: -17"" - 5333""","Common Names: Santa Barbara Milk-vetch, Santa Barbara Milkvetch",,,,,,,,,
Jepson's Button Celery (Eryngium aristulatum),Perennial herb,0.33 - 3 ft tall,"White, Purple",,"*
Black Swallowtail
Papilio polyxenes

*
White-lined Sphinx
Hyles lineata

*
Hawaiian Beet Webworm
Spoladea recurvalis

*
Celery Leaftier
Udea rubigalis

*
Agonopterix oregonensis","Black Swallowtail
Papilio polyxenes","White-lined Sphinx
Hyles lineata","Hawaiian Beet Webworm
Spoladea recurvalis","Celery Leaftier
Udea rubigalis",Agonopterix oregonensis,Part Shade,Moderate - High,Carried by 1,Moderately Easy,"Vernal pools, wet places","Annual Precipitation: 10.3"" - 71.8"", Summer Precipitation: 0.17"" - 2.00"", Coldest Month: 40.0"" - 56.1"", Hottest Month: 60.0"" - 77.9"", Humidity: 0.09"" - 25.08"", Elevation: 1"" - 4104""","Common Names: California Eryngo, Jepson's Button-celery",,,,,,,,,,,,,,,,
American Vetch (Vicia americana),"Vine, Perennial herb",1.3 ft tall,Mounding,Moderate,"Purple, Pink, Lavender",Spring,,"Clouded Sulphur
Colias philodice

Queen Alexandra's Sulphur
Colias alexandra

Western Tailed-Blue
Cupido amyntula

Chionodes braunella

*
Orange Sulphur
Colias eurytheme

*
Silvery Blue
Glaucopsyche lygdamus","Clouded Sulphur
Colias philodice","Queen Alexandra's Sulphur
Colias alexandra","Western Tailed-Blue
Cupido amyntula",Chionodes braunella,"Orange Sulphur
Colias eurytheme","Silvery Blue
Glaucopsyche lygdamus",,"Full Sun, Part Shade",Carried by 3,Moderately Easy,Prefers sandy or loamy soils. Does not grow well in clay soils.,Butterfly Gardens,"Annual Precipitation: 5.2"" - 158.0"", Summer Precipitation: 0.14"" - 5.80"", Coldest Month: 27.0"" - 57.1"", Hottest Month: 49.2"" - 80.8"", Humidity: 0.09"" - 33.76"", Elevation: 1"" - 8772""",Common Names: Purple Vetch,,,,,,,,,,,
Blow Wives (Achyrachaena mollis),Annual herb,1 - 1.3 ft tall,White,Spring,,"*
White-lined Sphinx
Hyles lineata","White-lined Sphinx
Hyles lineata",Full Sun,Low,Carried by 5,"7*, 8*, 9*, 10, 11, 14*, 15*, 16*, 17*, 18*, 19*, 20*, 21*, 22*, 23*, 24*",Grassy places,"Annual Precipitation: 7.4"" - 86.4"", Summer Precipitation: 0.14"" - 2.03"", Coldest Month: 22.1"" - 57.1"", Hottest Month: 45.2"" - 80.4"", Humidity: 0.45"" - 27.46"", Elevation: 4"" - 6126""","Common Names: Blow-wives, Soft Blow Wives",,,,,,,,,,,,,,,,,,,
Turkey Mullein (Croton setiger),Annual Herb,7.9 in tall,"Cream, Green",,"*
Gray Hairstreak
Strymon melinus

*
White-lined Sphinx
Hyles lineata

*
Anacampsis lacteusochrella

*
Schinia citrinellus

*
California Tiger Moth
Leptarctia californiae

*
Soybean Looper Moth
Chrysodeixis includens","Gray Hairstreak
Strymon melinus","White-lined Sphinx
Hyles lineata",Anacampsis lacteusochrella,Schinia citrinellus,"California Tiger Moth
Leptarctia californiae","Soybean Looper Moth
Chrysodeixis includens","Full Sun, Part Shade",Very Low,Carried by 3,Moderately Easy,"7*, 8*, 9*, 14*, 15, 16, 17, 18*, 19*, 20*, 21*, 22*, 23*, 24*","Flats, gentle slopes","Annual Precipitation: 4.0"" - 82.9"", Summer Precipitation: 0.15"" - 2.27"", Coldest Month: 32.7"" - 56.4"", Hottest Month: 59.9"" - 82.1"", Humidity: 0.47"" - 34.19"", Elevation: 7"" - 5419""","Botanical Names: Eremocarpus setigerus;Croton setigerus
Common Names: Croton, Dove Weed, Doveweed",,,,,,,,,,,,,,
Saltmarsh Baccharis (Baccharis glutinosa),Perennial herb,3.3 - 7 ft tall,"Cream, Brown","Summer, Fall",,"Fatal Metalmark
Calephelis nemesis

*
Gabb's Checkerspot
Chlosyne gabbii

*
White-lined Sphinx
Hyles lineata

*
Coyote Brush Gall Moth
Gnorimoschema baccharisella

*
Salt Marsh Moth or Acrea Moth
Estigmene acrea

*
Common Gray
Anavitrinella pampinaria","Fatal Metalmark
Calephelis nemesis","Gabb's Checkerspot
Chlosyne gabbii","White-lined Sphinx
Hyles lineata","Coyote Brush Gall Moth
Gnorimoschema baccharisella","Salt Marsh Moth or Acrea Moth
Estigmene acrea","Common Gray
Anavitrinella pampinaria",,Part Shade,Moderate - High,Carried by 11,Standing,"Butterfly Gardens, Bird Gardens, Bee Gardens",For propagating by seed: No treatment.,Moist salt marshes and stream edges,"Annual Precipitation: 5.4"" - 67.0"", Summer Precipitation: 0.14"" - 2.71"", Coldest Month: 38.4"" - 56.4"", Hottest Month: 57.5"" - 81.0"", Humidity: 0.02"" - 31.21"", Elevation: -7"" - 5892""","Botanical Names: Baccharis douglasii
Common Names: Douglas' Baccharis, Salt Marsh Baccharis",,,,,,,,,,,
Slender Juncus Rush (Juncus occidentalis),Grasses,1 - 2 ft tall,Brown,,"*
White-lined Sphinx
Hyles lineata

*
Streaked Coleophora Moth
Coleophora cratipennella

*
Red Swordgrass Moth
Xylena nupera

*
Yellow-Collared Scape Moth
Cisseps fulvicollis

*
Javelin Moth
Bactra verutana

*
Mottled Marble
Bactra furfurana","White-lined Sphinx
Hyles lineata","Streaked Coleophora Moth
Coleophora cratipennella","Red Swordgrass Moth
Xylena nupera","Yellow-Collared Scape Moth
Cisseps fulvicollis","Javelin Moth
Bactra verutana","Mottled Marble
Bactra furfurana",,Full Sun,Moderate - High,Carried by 8,"1, 2, 3, 4*, 5*, 6*, 7*, 14*, 15*, 16*, 17*, 18*, 19, 20, 21, 22, 23, 24","Moist, open places","Annual Precipitation: 4.1"" - 154.4"", Summer Precipitation: 0.15"" - 5.76"", Coldest Month: 20.3"" - 55.2"", Hottest Month: 45.7"" - 86.3"", Humidity: 0.01"" - 37.31"", Elevation: -253"" - 9946""",Common Names: Western Rush,,,,,,,,,,,,,,
Cliff Aster (Malacothrix saxatilis),Perennial herb,1 - 2 ft tall,White,"Winter, Summer, Fall",,"*
White-lined Sphinx
Hyles lineata

*
Alfalfa Looper Moth
Autographa californica

*
Heliolonche pictipennis

*
Cucullia comstocki

*
Heliolonche joaquinensis","White-lined Sphinx
Hyles lineata","Alfalfa Looper Moth
Autographa californica",Heliolonche pictipennis,Cucullia comstocki,Heliolonche joaquinensis,Full Sun,"Extremely Low, Very Low",Carried by 2,Fast,"Butterfly Gardens, Bee Gardens",For propagating by seed: No treatment. gives slow and sporadic germination.,Sand dunes and open places,"Annual Precipitation: 5.3"" - 45.5"", Summer Precipitation: 0.14"" - 2.13"", Coldest Month: 34.1"" - 57.9"", Hottest Month: 59.7"" - 85.0"", Humidity: 0.79"" - 36.22"", Elevation: -4136"" - 8278""","Common Names: Cliff Desertdandelion, Cliff-aster",,,,,,,,,,,,,
Common Fiddleneck (Amsinckia intermedia),Annual herb,0.7 - 3.9 ft tall,"Yellow, Orange","Winter, Spring",,"*
Painted Lady
Vanessa cardui

*
White-lined Sphinx
Hyles lineata

*
Alfalfa Looper Moth
Autographa californica","Painted Lady
Vanessa cardui","White-lined Sphinx
Hyles lineata","Alfalfa Looper Moth
Autographa californica",Full Sun,Low,Carried by 4,Moderately Easy,"2, 3, 7*, 8*, 9*, 10*, 14*, 15, 16, 17, 18*, 19*, 20*, 21*, 22*, 23*, 24","Open, disturbed places","Annual Precipitation: 2.9"" - 117.4"", Summer Precipitation: 0.13"" - 3.43"", Coldest Month: 30.5"" - 62.2"", Hottest Month: 54.3"" - 88.2"", Humidity: 0.09"" - 40.81"", Elevation: -162"" - 7631""","Botanical Names: Amsinckia menziesii var. intermedia
Common Names: Amsinckia Menziesii Var. Inter, Coast Buckthorn, Coast Fiddleneck, Intermediate Fiddleneck",,,,,,,,,,,,,,,,
California Saltbush (Extriplex californica),Perennial herb,1 - 2.6 ft tall,"Green, Cream, Yellow",Spring,,"*
Common Sootywing
Pholisora catullus

*
Western Pygmy Blue
Brephidium exilis

*
Mohave Sootywing
Hesperopsis libya

*
San Emigdio Blue
Plebejus emigdionis

*
White-lined Sphinx
Hyles lineata

*
Western Tussock Moth
Orgyia vetusta","Common Sootywing
Pholisora catullus","Western Pygmy Blue
Brephidium exilis","Mohave Sootywing
Hesperopsis libya","San Emigdio Blue
Plebejus emigdionis","White-lined Sphinx
Hyles lineata","Western Tussock Moth
Orgyia vetusta",,Full Sun,Low,Carried by 1,Moderately Easy,"Fast, Standing",Bird Gardens,"Sandy places, dunes, salt marshes","Annual Precipitation: 7.3"" - 34.1"", Summer Precipitation: 0.14"" - 1.14"", Coldest Month: 39.9"" - 57.5"", Hottest Month: 57.7"" - 81.7"", Humidity: 0.86"" - 33.27"", Elevation: -1512"" - 1274""","Botanical Names: Atriplex californica
Common Names: California Orache",,,,,,,,,,,
Wild Cucumber (Marah fabacea),"Vine, Perennial herb",18 ft tall,"Fast, Moderate",Summer Semi-Deciduous,"Orange, White, Yellow",Spring,,"*
White-lined Sphinx
Hyles lineata

*
Wandering Tiger Moth
Spilosoma vestalis

*
Eupithecia subapicata

*
Glorious Squash Vine Borer Moth
Melittia gloriosa

*
Clepsis fucana","White-lined Sphinx
Hyles lineata","Wandering Tiger Moth
Spilosoma vestalis",Eupithecia subapicata,"Glorious Squash Vine Borer Moth
Melittia gloriosa",Clepsis fucana,Full Sun,"Very Low, Low",Carried by 7,Fast,Adaptable,"Bee Gardens, Butterfly Gardens",Seed no treatment,"7*, 8, 9, 10, 14*, 15*, 16*, 17*, 18*, 19*, 20*, 21*, 22*, 23*, 24*","Streamsides, washes, shrubby and open places","Annual Precipitation: 5.4"" - 71.5"", Summer Precipitation: 0.15"" - 1.62"", Coldest Month: 32.2"" - 56.0"", Hottest Month: 58.4"" - 78.8"", Humidity: 0.04"" - 29.98"", Elevation: -22"" - 5727""","Common Names: California Manroot, Coast Wild Cucumber, Wild-cucumber",,,,,,,,,
Low Barley (Hordeum depressum),Grasses,1.8 ft tall,Brwon,,"*
White-lined Sphinx
Hyles lineata

*
Alfalfa Looper Moth
Autographa californica

*
Venerable Dart
Agrotis venerabilis

*
Armyworm Moth
Mythimna unipuncta

*
Bilobed Looper Moth
Megalographa biloba

*
Glassy Borer
Apamea devastator","White-lined Sphinx
Hyles lineata","Alfalfa Looper Moth
Autographa californica","Venerable Dart
Agrotis venerabilis","Armyworm Moth
Mythimna unipuncta","Bilobed Looper Moth
Megalographa biloba","Glassy Borer
Apamea devastator",,Full Sun,Moderate - High,Carried by 3,Moderately Easy,Moist places,"Annual Precipitation: 3.0"" - 78.8"", Summer Precipitation: 0.14"" - 2.54"", Coldest Month: 25.2"" - 57.4"", Hottest Month: 52.5"" - 89.3"", Humidity: 0.30"" - 39.89"", Elevation: -190"" - 8636""",Common Names: Dwarf Barley,,,,,,,,,,,,,,
Dwarf Brodiaea (Brodiaea jolonensis),Perennial herb,6 in tall,"Blue, Lavender, Purple",Spring,,"*
White-lined Sphinx
Hyles lineata","White-lined Sphinx
Hyles lineata","Full Sun, Part Shade",Low,Carried by 2,Moderately Easy,Slow,Butterfly Gardens,"14, 15, 16, 17, 19*, 20*, 21*, 22*, 23*, 24",Grassy and clay places,"Annual Precipitation: 10.8"" - 37.4"", Summer Precipitation: 0.15"" - 1.82"", Coldest Month: 41.3"" - 56.1"", Hottest Month: 62.1"" - 80.4"", Humidity: 0.85"" - 26.98"", Elevation: 23"" - 4976""","Common Names: Chaparral Brodiaea, Jolon Brodiaea",,,,,,,,,,,,,,,,
Monterey Cypress (Hesperocyparis macrocarpa),Tree,59.1 - 82 ft tall,,"*
White-lined Sphinx
Hyles lineata","White-lined Sphinx
Hyles lineata","Full Sun, Part Shade",Carried by 9,Moderately Easy,"Bank Stabilization, Deer Resistant","Annual Precipitation: 9.4"" - 54.3"", Summer Precipitation: 0.14"" - 1.46"", Coldest Month: 44.8"" - 55.7"", Hottest Month: 57.9"" - 72.1"", Humidity: 0.30"" - 17.57"", Elevation: 10"" - 4070""",Botanical Names: Callitropsis macrocarpa,,,,,,,,,,,,,,,,,,,,,,
Beach Morning Glory (Calystegia soldanella),"Perennial herb, Vine","3 - 4 in tall
2 - 3 ft wide",Spreading,Evergreen,"White, Pink, Lavender","Spring, Summer, Fall",,"Morning-glory Plume Moth
Emmelina monodactyla

*
White-lined Sphinx
Hyles lineata

*
Yellowstriped Armyworm Moth
Spodoptera ornithogalli

*
Orange Tortrix Moth
Argyrotaenia franciscana","Morning-glory Plume Moth
Emmelina monodactyla","White-lined Sphinx
Hyles lineata","Yellowstriped Armyworm Moth
Spodoptera ornithogalli","Orange Tortrix Moth
Argyrotaenia franciscana",Full Sun,"Extremely Low, Very Low","Max 1x / month once established, Never irrigate once established",Carried by 1,Fast,Bee Gardens,"17*, 24*",Coastal Strand,"Annual Precipitation: 9.4"" - 74.7"", Summer Precipitation: 0.14"" - 2.12"", Coldest Month: 44.8"" - 56.6"", Hottest Month: 55.6"" - 72.8"", Humidity: 0.08"" - 15.88"", Elevation: -75"" - 803""","Common Names: Beach Morning-glory, Seashore False Bindweed",,,,,,,,,,,
